SCRB 10,125800,Wednesday,12/18/2019,2:00 PM,William Anderson,,,,,,,,,,,,,,,,,,
SHBT 201,108213,Thursday,12/19/2019,2:00 PM,M. Liberman,,,,,,,,,,,,,,,,,,
SHONA 101AR,205982,Friday,12/13/2019,9:00 AM,John Mugane,,,,,,,,,,,,,,,,,,
SLAVIC 138,213422,Thursday,12/12/2019,9:00 AM,Michael Flier,,,,,,,,,,,,,,,,,,
SOMALI 101AR,206590,Saturday,12/14/2019,9:00 AM,John Mugane,,,,,,,,,,,,,,,,,,
SOMALI AA,206574,Friday,12/13/2019,2:00 PM,John Mugane,,,,,,,,,,,,,,,,,,
SOMALI BA,206582,Saturday,12/14/2019,9:00 AM,John Mugane,,,,,,,,,,,,,,,,,,
STAT 104,114027,Tuesday,12/10/2019,9:00 AM,Michael Parzen,,,,,,,,,,,,,,,,,,
STAT 110,110766,Saturday,12/14/2019,9:00 AM,Joseph Blitzstein,,,,,,,,,,,,,,,,,,
STAT 131,117131,Thursday,12/19/2019,2:00 PM,Natesh Pillai,,,,,,,,,,,,,,,,,,
STAT 210,111696,Wednesday,12/18/2019,9:00 AM,Joseph Blitzstein,,,,,,,,,,,,,,,,,,
STAT 230,119940,Monday,12/16/2019,2:00 PM,S. C. Samuel Kou,,,,,,,,,,,,,,,,,,
STAT 244,127856,Wednesday,12/11/2019,9:00 AM,Mark Glickman,,,,,,,,,,,,,,,,,,
SUDANESE 101AR,205872,Wednesday,12/18/2019,2:00 PM,John Mugane,,,,,,,,,,,,,,,,,,
SUDANESE BA,205886,Wednesday,12/11/2019,9:00 AM,John Mugane,,,,,,,,,,,,,,,,,,
SWAHILI 101AR,119820,Thursday,12/19/2019,2:00 PM,John Mugane,,,,,,,,,,,,,,,,,,
SWAHILI AA,119819,Wednesday,12/11/2019,2:00 PM,John Mugane,,,,,,,,,,,,,,,,,,
SWAHILI BA,144184,Tuesday,12/10/2019,2:00 PM,John Mugane,,,,,,,,,,,,,,,,,,
SYRIAC AB,213622,Wednesday,12/11/2019,2:00 PM,Ute Possekel,,,,,,,,,,,,,,,,,,
TDM 130R,123080,Thursday,12/19/2019,9:00 AM,Marcus Stern,,,,,,,,,,,,,,,,,,
TIBET 101A,113685,Tuesday,12/17/2019,2:00 PM,Leonard van der Kuijp,,,,,,,,,,,,,,,,,,
TIBET 102A,116075,Wednesday,12/11/2019,2:00 PM,Leonard van der Kuijp,,,,,,,,,,,,,,,,,,
TIGRINYA 101AR,205875,Wednesday,12/11/2019,9:00 AM,John Mugane,,,,,,,,,,,,,,,,,,
