Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
205846,SUDANESE AB,Elementary Sudanese Arabic,001,African & African Amer Studies,"Mugane,John M",0,0,0,1,0,0,0,1
205868,SUDANESE BB,Sudanese Arabic,001,African & African Amer Studies,"Mugane,John M",2,0,0,1,0,0,0,3
112090,SUMERIAN 140,Sumerian Historical Texts,001,Near Eastern Languages & Civ,"Steinkeller,Piotr",0,3,0,0,0,0,0,3
206982,SUMERIAN 217,Comp Sumerian & Inca,001,Near Eastern Languages & Civ,"Urton,Gary",1,2,1,0,0,0,0,4
119821,SWAHILI 101BR,Reading in Swahili II,001,African & African Amer Studies,"Mugane,John M",7,0,0,1,0,0,0,8
119819,SWAHILI AA,Elementary Swahili,001,African & African Amer Studies,"Mugane,John M",1,0,0,1,0,0,0,2
159829,SWAHILI AB,Elementary Swahili,001,African & African Amer Studies,"Mugane,John M",10,0,0,0,0,0,0,10
159865,SWAHILI BB,Intermediate Swahili,001,African & African Amer Studies,"Mugane,John M",1,0,0,0,0,0,0,1
126648,SWEDISH AB,Beginning Swedish Ab,001,Germanic Languages & Lit,"Broome,Agnes",11,0,0,1,0,0,0,12
126648,SWEDISH AB,Beginning Swedish Ab,002,Germanic Languages & Lit,"Broome,Agnes",6,0,0,0,0,0,0,6
126648,SWEDISH AB,Beginning Swedish Ab,L003,Germanic Languages & Lit,"Broome,Agnes",1,0,0,0,0,0,0,1
203488,SWEDISH BBR,Special Topics in Swedish Lit,1,Germanic Languages & Lit,"Broome,Agnes",3,0,0,0,0,0,0,3
160680,SYSBIO 300HFB,Intro to Systems Biology Rsch,001,Systems Biology,"Mitchison,Timothy",0,9,0,0,0,0,0,9
109345,SYSBIO 305QC,Practical Synthetic Biology,001,Systems Biology,"Way,Jeffrey",0,4,0,0,0,0,0,4
204480,SYSBIO 320,Quant Measurement and Analysis,001,Systems Biology,"Klein,Allon Moshe",0,8,0,0,0,0,0,8
121507,SYSBIO 350,Systems Biology Research,006,Systems Biology,"Church,George",0,2,0,0,0,0,0,2
121507,SYSBIO 350,Systems Biology Research,011,Systems Biology,"Depace,Angela",0,3,0,0,0,0,0,3
121507,SYSBIO 350,Systems Biology Research,012,Systems Biology,"Desai,Michael M",0,1,0,0,0,0,0,1
121507,SYSBIO 350,Systems Biology Research,013,Systems Biology,"Doyle III,Francis J.",0,4,0,0,0,0,0,4
121507,SYSBIO 350,Systems Biology Research,014,Systems Biology,"Dulac,Catherine",0,1,0,0,0,0,0,1
121507,SYSBIO 350,Systems Biology Research,015,Systems Biology,"Eddy,Sean R",0,1,0,0,0,0,0,1
121507,SYSBIO 350,Systems Biology Research,016,Systems Biology,"Fontana,Walter",0,1,0,0,0,0,0,1
121507,SYSBIO 350,Systems Biology Research,017,Systems Biology,"Garner,Ethan",0,1,0,0,0,0,0,1
121507,SYSBIO 350,Systems Biology Research,018,Systems Biology,"Grad,Yonatan Hagai",0,2,0,0,0,0,0,2
121507,SYSBIO 350,Systems Biology Research,020,Systems Biology,"Gunawardena,Jeremy",0,1,0,0,0,0,0,1
121507,SYSBIO 350,Systems Biology Research,023,Systems Biology,"Kirschner,Marc",0,2,0,0,0,0,0,2
121507,SYSBIO 350,Systems Biology Research,024,Systems Biology,"Klein,Allon Moshe",0,5,0,0,0,0,0,5
121507,SYSBIO 350,Systems Biology Research,028,Systems Biology,"Marks,Debora",0,6,0,0,0,0,0,6
121507,SYSBIO 350,Systems Biology Research,029,Systems Biology,"Megason,Sean",0,1,0,0,0,0,0,1
121507,SYSBIO 350,Systems Biology Research,030,Systems Biology,"Mitchison,Timothy",0,7,0,0,0,0,0,7
121507,SYSBIO 350,Systems Biology Research,031,Systems Biology,"Mootha,Vamsi",0,3,0,0,0,0,0,3
121507,SYSBIO 350,Systems Biology Research,032,Systems Biology,"Murray,Andrew W.",0,2,0,0,0,0,0,2
121507,SYSBIO 350,Systems Biology Research,033,Systems Biology,"Needleman,Daniel",0,1,0,0,0,0,0,1
121507,SYSBIO 350,Systems Biology Research,035,Systems Biology,"Nowak,Martin A.",0,2,0,0,0,0,0,2
